,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Hamilton,2020,,8.8,90.0,29257,
1,Dil Bechara,2020,,9.3,,87263,
2,Knives Out,2019,,7.9,82.0,354589,165.36
3,The Gentlemen,2019,,7.9,51.0,167034,
4,Once Upon a Time... in Hollywood,2019,,7.7,83.0,495707,142.5
5,Joker,2019,,8.5,59.0,833825,335.45
6,Avengers: Endgame,2019,,8.4,78.0,743357,858.37
7,Parasite,2019,,8.6,96.0,453620,53.37
8,"Three Billboards Outside Ebbing, Missouri",2017,,8.2,88.0,407343,54.51
9,The Shawshank Redemption,1994,,9.3,80.0,2267098,28.34
10,Ford v Ferrari,2019,,8.1,81.0,240515,117.62
11,Interstellar,2014,,8.6,74.0,1437133,188.02
12,The Godfather,1972,,9.2,100.0,1563676,134.97
13,1917,2019,,8.3,78.0,349275,159.23
14,Back to the Future,1985,,8.5,87.0,1020731,210.61
15,Inception,2010,,8.8,74.0,1988684,292.58
16,The Dark Knight,2008,,9.0,84.0,2230692,534.86
17,The Wolf of Wall Street,2013,,8.2,75.0,1133705,116.9
18,Harry Potter and the Sorcerer's Stone,2001,,7.6,64.0,621381,317.58
19,Pride & Prejudice,2005,,7.8,82.0,245649,38.41
20,The Shining,1980,,8.4,66.0,863787,44.02
21,Little Women,2019,,7.9,91.0,117039,108.1
22,The Green Mile,1999,,8.6,61.0,1106284,136.8
23,Avengers: Infinity War,2018,,8.4,68.0,789461,678.82
24,Gladiator,2000,,8.5,67.0,1301787,187.71
25,Pulp Fiction,1994,,8.9,94.0,1772282,107.93
26,Inglourious Basterds,2009,,8.3,69.0,1223370,120.54
27,Stand by Me,1986,,8.1,75.0,353986,52.29
28,The Silence of the Lambs,1991,,8.6,85.0,1227556,130.74
29,Jojo Rabbit,2019,,7.9,58.0,240091,0.35
30,Moana,2016,,7.6,81.0,258497,248.76
31,The Princess Bride,1987,,8.1,77.0,383371,30.86
32,The Lord of the Rings: The Fellowship of the Ring,2001,,8.8,92.0,1613193,315.54
33,Get Out,2017,,7.7,85.0,468059,176.04
34,Blade Runner 2049,2017,,8.0,81.0,437103,92.05
35,The Dark Knight Rises,2012,,8.4,78.0,1473962,448.14
36,Jurassic Park,1993,,8.1,68.0,839674,402.45
37,The Irishman,2019,,7.9,94.0,299906,
38,Mad Max: Fury Road,2015,,8.1,90.0,851216,154.06
39,Titanic,1997,,7.8,75.0,1019763,659.33
40,Mission: Impossible - Fallout,2018,,7.7,86.0,278462,220.16
41,Schindler's List,1993,,8.9,94.0,1177293,96.9
42,Platoon,1986,,8.1,92.0,371963,138.53
43,The Goonies,1985,,7.8,62.0,235380,61.5
44,Jaws,1975,,8.0,87.0,533746,260.0
45,Zodiac,2007,,7.7,78.0,439786,33.08
46,The Matrix,1999,,8.7,73.0,1624373,171.48
47,Forrest Gump,1994,,8.8,82.0,1746588,330.25
48,Fight Club,1999,,8.8,66.0,1799291,37.03
49,Django Unchained,2012,,8.4,81.0,1311158,162.81
50,Tombstone,1993,,7.8,50.0,122465,56.51
51,The Departed,2006,,8.5,85.0,1154140,132.38
52,Gone Girl,2014,,8.1,79.0,828214,167.77
53,Airplane!,1980,,7.7,78.0,206942,83.4
54,The Prestige,2006,,8.5,66.0,1148397,53.09
55,Deadpool,2016,,8.0,65.0,878557,363.07
56,Thor: Ragnarok,2017,,7.9,74.0,560275,315.06
57,Goodfellas,1990,,8.7,90.0,986018,46.84
58,The Big Lebowski,1998,,8.1,71.0,709088,17.5
59,Spider-Man: Into the Spider-Verse,2018,,8.4,87.0,330120,190.24
60,Bohemian Rhapsody,2018,,8.0,49.0,430474,216.43
61,Almost Famous,2000,,7.9,90.0,246521,32.53
62,No Country for Old Men,2007,,8.1,91.0,826165,74.28
63,Scarface,1983,,8.3,65.0,717540,45.6
64,Pirates of the Caribbean: The Curse of the Black Pearl,2003,,8.0,63.0,998794,305.41
65,Guardians of the Galaxy,2014,,8.0,76.0,1019595,333.18
66,Deadpool 2,2018,,7.7,66.0,457199,324.59
67,Apocalypse Now,1979,,8.4,94.0,587807,83.47
68,Mary Poppins,1964,,7.8,88.0,153683,102.27
69,Call Me by Your Name,2017,,7.9,93.0,196980,18.1
70,The Notebook,2004,,7.8,53.0,505305,81.0
71,Catch Me If You Can,2002,,8.1,75.0,794552,164.62
72,Harry Potter and the Deathly Hallows: Part 2,2011,,8.1,85.0,739715,381.01
73,Raiders of the Lost Ark,1981,,8.4,85.0,861845,248.16
74,X-Men: Days of Future Past,2014,,8.0,75.0,648480,233.92
75,Spartacus,1960,,7.9,87.0,121351,30.0
76,Léon: The Professional,1994,,8.5,64.0,1002562,19.5
77,Heat,1995,,8.2,76.0,559453,67.44
78,The Godfather: Part II,1974,,9.0,90.0,1092833,57.3
79,Portrait of a Lady on Fire,2019,,8.1,95.0,46041,
80,Alien,1979,,8.4,89.0,765003,78.9
81,Se7en,1995,,8.6,65.0,1394600,100.13
82,Saving Private Ryan,1998,,8.6,91.0,1197896,216.54
83,Avatar,2009,,7.8,83.0,1097995,760.51
84,Taxi Driver,1976,,8.3,94.0,699086,28.26
85,Ex Machina,2014,,7.7,78.0,459995,25.44
86,Harry Potter and the Goblet of Fire,2005,,7.7,81.0,527728,290.01
87,Dunkirk,2017,,7.9,94.0,525605,188.37
88,The Usual Suspects,1995,,8.5,77.0,964367,23.34
89,The Truman Show,1998,,8.1,90.0,905083,125.62
90,The Breakfast Club,1985,,7.9,66.0,346255,45.88
91,Requiem for a Dream,2000,,8.3,68.0,745178,3.64
92,Love Actually,2003,,7.6,55.0,414586,59.7
93,Watchmen,2009,,7.6,56.0,488855,107.51
94,Braveheart,1995,,8.3,68.0,938653,75.6
95,Baby Driver,2017,,7.6,86.0,418646,107.83
96,"The Good, the Bad and the Ugly",1966,,8.8,90.0,669122,6.1
97,Ferris Bueller's Day Off,1986,,7.8,61.0,312276,70.14
98,Good Will Hunting,1997,,8.3,70.0,832934,138.43
99,Dazed and Confused,1993,,7.6,78.0,160426,7.99
100,Spirited Away,2001,,8.6,96.0,621683,10.06
101,The Lord of the Rings: The Return of the King,2003,,8.9,94.0,1597684,377.85
102,Boogie Nights,1997,,7.9,85.0,232674,26.4
103,Batman Begins,2005,,8.2,70.0,1272165,206.85
104,Prisoners,2013,,8.1,70.0,577323,61.0
105,Marriage Story,2019,,8.0,94.0,222720,2.0
106,The Blues Brothers,1980,,7.9,60.0,177961,57.23
107,The Deer Hunter,1978,,8.1,86.0,302949,48.98
108,Shutter Island,2010,,8.2,63.0,1089837,128.01
109,X-Men: First Class,2011,,7.7,65.0,635177,146.41
110,A Star Is Born,2018,,7.7,88.0,314944,215.29
111,American Beauty,1999,,8.3,84.0,1045391,130.1
112,Green Book,2018,,8.2,69.0,335912,85.08
113,Mulholland Drive,2001,,8.0,85.0,311026,7.22
114,Toy Story 4,2019,,7.8,84.0,186350,434.04
115,Hot Fuzz,2007,,7.8,81.0,451883,23.64
116,A Clockwork Orange,1971,,8.3,80.0,737065,6.21
117,V for Vendetta,2005,,8.2,62.0,1005241,70.51
118,The Fifth Element,1997,,7.7,52.0,424428,63.54
119,Star Wars: Episode IV - A New Hope,1977,,8.6,90.0,1199738,322.74
120,The Avengers,2012,,8.0,69.0,1237987,623.28
121,Iron Man,2008,,7.9,79.0,917555,318.41
122,Memento,2000,,8.4,80.0,1093134,25.54
123,The Hateful Eight,2015,,7.8,68.0,495858,54.12
124,Back to the Future Part II,1989,,7.8,57.0,464733,118.5
125,Her,2013,,8.0,90.0,520522,25.57
126,Logan,2017,,8.1,77.0,623518,226.28
127,Whiplash,2014,,8.5,88.0,686052,13.09
128,Guardians of the Galaxy Vol. 2,2017,,7.6,67.0,546480,389.81
129,Sicario,2015,,7.6,82.0,358356,46.89
130,Come and See,1985,,8.3,,52958,
131,There Will Be Blood,2007,,8.2,93.0,500027,40.22
132,Ghostbusters,1984,,7.8,71.0,345685,238.63
133,Indiana Jones and the Last Crusade,1989,,8.2,65.0,674100,197.17
134,Kill Bill: Vol. 1,2003,,8.1,69.0,972952,70.1
135,12 Angry Men,1957,,8.9,96.0,664361,4.36
136,Indiana Jones and the Temple of Doom,1984,,7.6,57.0,435936,179.87
137,Warrior,2011,,8.2,71.0,425905,13.66
138,Aliens,1986,,8.3,84.0,636811,85.16
139,Captain America: Civil War,2016,,7.8,75.0,640767,408.08
140,Casino,1995,,8.2,73.0,449839,42.44
141,Room,2015,,8.1,86.0,354364,14.68
142,The Warriors,1979,,7.6,65.0,91342,22.49
143,Zootopia,2016,,8.0,78.0,418752,341.27
144,E.T. the Extra-Terrestrial,1982,,7.8,91.0,361086,435.11
145,Stardust,2007,,7.6,66.0,249184,38.63
146,Rio Bravo,1959,,8.0,93.0,54500,12.54
147,La La Land,2016,,8.0,94.0,484956,151.1
148,The Help,2011,,8.0,62.0,417883,169.71
149,The Lion King,1994,,8.5,88.0,912836,422.78
150,Harry Potter and the Prisoner of Azkaban,2004,,7.9,82.0,530277,249.36
151,Scent of a Woman,1992,,8.0,59.0,251550,63.9
152,The Terminator,1984,,8.0,84.0,780974,38.4
153,Into the Wild,2007,,8.1,73.0,558225,18.35
154,American Psycho,2000,,7.6,64.0,469622,15.07
155,One Flew Over the Cuckoo's Nest,1975,,8.7,83.0,887094,112.0
156,300,2006,,7.6,52.0,720570,210.61
157,Harry Potter and the Deathly Hallows: Part 1,2010,,7.7,65.0,460613,295.98
158,2001: A Space Odyssey,1968,,8.3,84.0,584663,56.95
159,Blade Runner,1982,,8.1,84.0,674974,32.87
160,Once Upon a Time in America,1984,,8.4,,300555,5.32
161,Cast Away,2000,,7.8,73.0,508198,233.63
162,Hell or High Water,2016,,7.6,88.0,196777,26.86
163,A Few Good Men,1992,,7.7,62.0,228287,141.34
164,Casino Royale,2006,,8.0,80.0,568056,167.45
165,Eternal Sunshine of the Spotless Mind,2004,,8.3,89.0,885007,34.4
166,The Grand Budapest Hotel,2014,,8.1,88.0,684039,59.1
167,Terminator 2: Judgment Day,1991,,8.5,75.0,970926,204.84
168,Tangled,2010,,7.7,71.0,394421,200.82
169,Magnolia,1999,,8.0,77.0,283666,22.46
170,The Revenant,2015,,8.0,76.0,681018,183.64
171,12 Monkeys,1995,,8.0,74.0,566722,57.14
172,Psycho,1960,,8.5,97.0,583160,32.0
173,True Romance,1993,,7.9,59.0,201486,12.28
174,Hacksaw Ridge,2016,,8.1,71.0,415007,67.21
175,Midnight in Paris,2011,,7.7,81.0,378081,56.82
176,Snatch,2000,,8.3,55.0,763506,30.33
177,The Big Short,2015,,7.8,81.0,346297,70.26
178,Rogue One: A Star Wars Story,2016,,7.8,65.0,535990,532.18
179,Full Metal Jacket,1987,,8.3,76.0,654889,46.36
180,The Peanut Butter Falcon,2019,,7.6,70.0,43351,13.12
181,Wonder,2017,,8.0,66.0,132005,132.42
182,The Girl with the Dragon Tattoo,2011,,7.8,71.0,410002,102.52
183,The Bourne Identity,2002,,7.9,68.0,497303,121.66
184,12 Years a Slave,2013,,8.1,96.0,621646,56.67
185,Donnie Darko,2001,,8.0,71.0,726231,1.48
186,Seven Samurai,1954,,8.6,98.0,306196,0.27
187,Once Upon a Time in the West,1968,,8.5,80.0,293416,5.32
188,Rush,2013,,8.1,74.0,420878,26.95
189,Edward Scissorhands,1990,,7.9,74.0,435802,56.36
190,Harry Potter and the Half-Blood Prince,2009,,7.6,78.0,455447,301.96
191,The Social Network,2010,,7.7,95.0,605944,96.96
192,Edge of Tomorrow,2014,,7.9,71.0,583588,100.21
193,The Lord of the Rings: The Two Towers,2002,,8.7,87.0,1443697,342.55
194,Drive,2011,,7.8,78.0,556092,35.06
195,Spotlight,2015,,8.1,93.0,403677,45.06
196,Star Trek,2009,,7.9,82.0,570792,257.73
197,Coco,2017,,8.4,81.0,348019,209.73
198,The Hobbit: An Unexpected Journey,2012,,7.8,58.0,744362,303.0
199,Lost in Translation,2003,,7.7,89.0,401096,44.59
200,Die Hard,1988,,8.2,72.0,765104,83.01
201,The Martian,2015,,8.0,80.0,737148,228.43
202,The Fault in Our Stars,2014,,7.7,69.0,335547,124.87
203,Reservoir Dogs,1992,,8.3,79.0,892490,2.83
204,Howl's Moving Castle,2004,,8.2,80.0,316036,4.71
205,Fargo,1996,,8.1,85.0,598205,24.61
206,Oldboy,2003,,8.4,77.0,498351,0.71
207,Kingsman: The Secret Service,2014,,7.7,60.0,577160,128.26
208,Atonement,2007,,7.8,85.0,242407,50.93
209,The Perks of Being a Wallflower,2012,,8.0,67.0,449399,17.74
210,Argo,2012,,7.7,86.0,561411,136.03
211,American History X,1998,,8.5,62.0,1009662,6.72
212,The Sandlot,1993,,7.8,55.0,76718,32.42
213,Apocalypto,2006,,7.8,68.0,285068,50.87
214,Ratatouille,2007,,8.0,96.0,622000,206.45
215,What We Do in the Shadows,2014,,7.7,76.0,149011,3.33
216,The Hangover,2009,,7.7,73.0,703726,277.32
217,Arrival,2016,,7.9,81.0,571896,100.55
218,The Thing,1982,,8.1,57.0,358030,13.78
219,Do the Right Thing,1989,,7.9,93.0,85257,27.55
220,Children of Men,2006,,7.9,84.0,454124,35.55
221,Sin City,2005,,8.0,74.0,732095,74.1
222,Star Wars: Episode VII - The Force Awakens,2015,,7.9,80.0,842722,936.66
223,Apollo 13,1995,,7.6,77.0,261233,173.84
224,Kill Bill: Vol. 2,2004,,8.0,83.0,665274,66.21
225,The Invisible Guest,2016,,8.1,,124425,
226,Your Name.,2016,,8.4,79.0,175157,5.02
227,Life Is Beautiful,1997,,8.6,59.0,602389,57.6
228,Black Swan,2010,,8.0,79.0,683842,106.95
229,Star Wars: Episode V - The Empire Strikes Back,1980,,8.7,82.0,1127562,290.48
230,Remember the Titans,2000,,7.8,48.0,193570,115.65
231,Sherlock Holmes,2009,,7.6,57.0,572429,209.03
232,Big Fish,2003,,8.0,58.0,406885,66.26
233,Million Dollar Baby,2004,,8.1,86.0,620708,100.49
234,About Time,2013,,7.8,55.0,288256,15.32
235,The Pianist,2002,,8.5,85.0,704032,32.57
236,Minority Report,2002,,7.6,80.0,496807,132.07
237,The Sixth Sense,1999,,8.1,64.0,890968,293.51
238,Philadelphia,1993,,7.7,66.0,218852,77.32
239,Willy Wonka & the Chocolate Factory,1971,,7.8,67.0,173145,4.0
240,"O Brother, Where Art Thou?",2000,,7.7,69.0,278144,45.51
241,The Maltese Falcon,1941,,8.0,96.0,146356,2.11
242,Unforgiven,1992,,8.2,85.0,365410,101.16
243,Mulan,1998,,7.6,71.0,242979,120.62
244,Inside Out,2015,,8.1,94.0,589137,356.46
245,Home Alone,1990,,7.6,63.0,449831,285.76
246,My Fair Lady,1964,,7.8,95.0,84469,72.0
247,Inside Man,2006,,7.6,76.0,330243,88.51
248,The Sound of Music,1965,,8.0,63.0,197742,163.21
249,Princess Mononoke,1997,,8.4,76.0,328279,2.38
250,A Beautiful Mind,2001,,8.2,72.0,823890,170.74
251,Moneyball,2011,,7.6,87.0,352086,75.61
252,The Godfather: Part III,1990,,7.6,60.0,348692,66.67
253,Captain America: The Winter Soldier,2014,,7.7,70.0,716186,259.77
254,Dead Poets Society,1989,,8.1,79.0,408538,95.86
255,The Exorcist,1973,,8.0,81.0,352852,232.91
256,The Others,2001,,7.6,74.0,329360,96.52
257,Pan's Labyrinth,2006,,8.2,98.0,604652,37.63
258,Incredibles 2,2018,,7.6,80.0,237517,608.58
259,Ocean's Eleven,2001,,7.7,74.0,502190,183.42
260,The Imitation Game,2014,,8.0,73.0,664272,91.13
261,Zombieland,2009,,7.6,73.0,508658,75.59
262,Superbad,2007,,7.6,76.0,509538,121.46
263,The Handmaiden,2016,,8.1,84.0,102906,2.01
264,Birdman or (The Unexpected Virtue of Ignorance),2014,,7.7,87.0,563564,42.34
265,True Grit,2010,,7.6,80.0,303520,171.24
266,Singin' in the Rain,1952,,8.3,99.0,212082,8.82
267,Nightcrawler,2014,,7.9,76.0,445393,32.38
268,Rocky,1976,,8.1,70.0,504077,117.24
269,The Last Samurai,2003,,7.7,55.0,390246,111.11
270,Silver Linings Playbook,2012,,7.7,81.0,649221,132.09
271,Gone with the Wind,1939,,8.1,97.0,282313,198.68
272,The Florida Project,2017,,7.6,92.0,88584,5.9
273,The Blind Side,2009,,7.6,53.0,284588,255.96
274,Casablanca,1942,,8.5,100.0,507634,1.02
275,Blue Is the Warmest Colour,2013,,7.7,88.0,134635,2.2
276,Vertigo,1958,,8.3,100.0,350093,3.2
277,Despicable Me,2010,,7.6,72.0,489598,251.51
278,The Incredibles,2004,,8.0,90.0,640328,261.44
279,Serenity,2005,,7.8,74.0,279168,25.51
280,Dances with Wolves,1990,,8.0,72.0,234162,184.21
281,Primal Fear,1996,,7.7,47.0,179968,56.12
282,Amadeus,1984,,8.3,88.0,359474,51.97
283,Rear Window,1954,,8.4,100.0,430028,36.76
284,Finding Nemo,2003,,8.1,90.0,924249,380.84
285,Trainspotting,1996,,8.1,83.0,621321,16.5
286,The Wizard of Oz,1939,,8.0,100.0,365437,2.08
287,The Intouchables,2011,,8.5,57.0,733141,13.18
288,The Bourne Supremacy,2004,,7.7,73.0,425792,176.24
289,Shaun of the Dead,2004,,7.9,76.0,500396,13.54
290,Groundhog Day,1993,,8.0,72.0,567402,70.91
291,Donnie Brasco,1997,,7.7,76.0,270331,41.91
292,Toy Story,1995,,8.3,95.0,860602,191.8
293,City of God,2002,,8.6,79.0,683466,7.56
294,Brokeback Mountain,2005,,7.7,87.0,315883,83.04
295,Wind River,2017,,7.7,73.0,193985,33.8
296,Predator,1987,,7.8,45.0,363289,59.74
297,Star Wars: Episode VI - Return of the Jedi,1983,,8.3,58.0,924461,309.13
298,The Bourne Ultimatum,2007,,8.0,85.0,596250,227.47
299,Capernaum,2018,,8.4,75.0,51462,1.66
300,Skyfall,2012,,7.7,81.0,618563,304.36
301,First Blood,1982,,7.7,61.0,220472,47.21
302,Dallas Buyers Club,2013,,8.0,80.0,428254,27.3
303,Hidden Figures,2016,,7.8,74.0,191970,169.61
304,Shrek,2001,,7.8,84.0,597828,267.67
305,Deliverance,1972,,7.7,80.0,96281,7.06
306,The Hunt,2012,,8.3,77.0,267621,0.69
307,Captain Fantastic,2016,,7.9,72.0,180681,5.88
308,Black Hawk Down,2001,,7.7,74.0,356989,108.64
309,Mystic River,2003,,7.9,84.0,409914,90.14
310,L.A. Confidential,1997,,8.2,90.0,519589,64.62
311,Training Day,2001,,7.7,69.0,379709,76.63
312,Amélie,2001,,8.3,69.0,688124,33.23
313,The Curious Case of Benjamin Button,2008,,7.8,70.0,573545,127.51
314,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,8.4,97.0,439252,0.28
315,Up,2009,,8.2,88.0,907448,293.0
316,Taken,2008,,7.8,51.0,556638,145.0
317,The Pursuit of Happyness,2006,,8.0,64.0,435234,163.57
318,3 Idiots,2009,,8.4,67.0,329785,6.53
319,Goldfinger,1964,,7.7,87.0,168153,51.08
320,The Fugitive,1993,,7.8,87.0,260881,183.88
321,My Cousin Vinny,1992,,7.6,68.0,103324,52.93
322,Lion,2016,,8.0,69.0,205252,51.74
323,Crash,2004,,7.7,66.0,414239,54.58
324,The Hobbit: The Desolation of Smaug,2013,,7.8,66.0,589239,258.37
325,Das Boot,1981,,8.3,86.0,225262,11.49
